,preprocessed_name,NAME,CITY_x,STATE
2065,alaskapacificuniversity,ALASKA PACIFIC UNIVERSITY,Anchorage,AK
1149,amridgeuniversity,AMRIDGE UNIVERSITY,Montgomery,AL
1139,bevillstatecommunitycollege,BEVILL STATE COMMUNITY COLLEGE,Jasper,AL
1146,columbiasouthernuniversity,COLUMBIA SOUTHERN UNIVERSITY,Orange Beach,AL
1185,concordiacollegealabama,CONCORDIA COLLEGE ALABAMA,,AL
1187,herzinguniversitybirmingham,HERZING UNIVERSITY-BIRMINGHAM,Birmingham,AL
1186,judsoncollege,JUDSON COLLEGE,Marion,AL
1167,milescollege,MILES COLLEGE,Fairfield,AL
1183,selmauniversity,SELMA UNIVERSITY,Selma,AL
1180,stillmancollege,STILLMAN COLLEGE,Tuscaloosa,AL
1181,talladegacollege,TALLADEGA COLLEGE,Talladega,AL
1182,tuskegeeuniversity,TUSKEGEE UNIVERSITY,Tuskegee,AL
1168,universitymobile,UNIVERSITY OF MOBILE,Mobile,AL
1171,universitynorthalabama,UNIVERSITY OF NORTH ALABAMA,Florence,AL
541,arkansasstateuniversitymidsouth,ARKANSAS STATE UNIVERSITY MID-SOUTH,West Memphis,AR
532,blackrivertechnicalcollege,BLACK RIVER TECHNICAL COLLEGE,Pocahontas,AR
537,hardinguniversity,HARDING UNIVERSITY,Searcy,AR
538,hendersonstateuniversity,HENDERSON STATE UNIVERSITY,Arkadelphia,AR
539,hendrixcollege,HENDRIX COLLEGE,Conway,AR
536,nationalparkcollege,NATIONAL PARK COLLEGE,Hot Springs,AR
552,northwestarkansascommunitycollege,NORTHWEST ARKANSAS COMMUNITY COLLEGE,Bentonville,AR
545,ozarkacollege,OZARKA COLLEGE,Melbourne,AR
555,shortercollege,SHORTER COLLEGE,N Little Rock,AR
547,southeastarkansascollege,SOUTHEAST ARKANSAS COLLEGE,Pine Bluff,AR
531,universityarkansasmonticello,UNIVERSITY OF ARKANSAS AT MONTICELLO,Monticello,AR
549,williamsbaptistuniversity,WILLIAMS BAPTIST UNIVERSITY,,AR
1665,arizonastateuniversitydowntownphoenix,ARIZONA STATE UNIVERSITY-DOWNTOWN PHOENIX,Phoenix,AZ
1661,arizonastateuniversitywest,ARIZONA STATE UNIVERSITY-WEST,Glendale,AZ
1646,collegeamericaflagstaff,COLLEGEAMERICA-FLAGSTAFF,Flagstaff,AZ
1644,collegeamericaphoenix,COLLEGEAMERICA-PHOENIX,Phoenix,AZ
1658,prescottcollege,PRESCOTT COLLEGE,Prescott,AZ
1660,yavapaicollege,YAVAPAI COLLEGE,Prescott,AZ
732,antiochuniversitylosangeles,ANTIOCH UNIVERSITY-LOS ANGELES,Culver City,CA
675,azusapacificuniversity,AZUSA PACIFIC UNIVERSITY,Azusa,CA
679,buttecollege,BUTTE COLLEGE,Oroville,CA
670,californiachristiancollege,CALIFORNIA CHRISTIAN COLLEGE,Fresno,CA
663,californiacollegesandiego,CALIFORNIA COLLEGE SAN DIEGO,San Diego,CA
706,chabotcollege,CHABOT COLLEGE,Hayward,CA
721,claremontmckennacollege,CLAREMONT MCKENNA COLLEGE,Claremont,CA
671,communitychristiancollege,COMMUNITY CHRISTIAN COLLEGE,Redlands,CA
767,coppermountaincommunitycollege,COPPER MOUNTAIN COMMUNITY COLLEGE,Joshua Tree,CA
661,fresnopacificuniversity,FRESNO PACIFIC UNIVERSITY,Fresno,CA
764,harveymuddcollege,HARVEY MUDD COLLEGE,Claremont,CA
830,holynamesuniversity,HOLY NAMES UNIVERSITY,Oakland,CA
778,hopeinternationaluniversity,HOPE INTERNATIONAL UNIVERSITY,Fullerton,CA
725,johnfkennedyuniversity,JOHN F. KENNEDY UNIVERSITY,Pleasant Hill,CA
783,lasierrauniversity,LA SIERRA UNIVERSITY,Riverside,CA
729,lifepacificcollege,LIFE PACIFIC COLLEGE,San Dimas,CA
831,marymountcaliforniauniversity,MARYMOUNT CALIFORNIA UNIVERSITY,Rancho Palos Verdes,CA
795,mastersuniversityseminary,THE MASTER'S UNIVERSITY AND SEMINARY,,CA
738,middleburyinstituteinternationalstudiesmonterey,MIDDLEBURY INSTITUTE OF INTERNATIONAL STUDIES AT MONTEREY,,CA
760,millscollege,MILLS COLLEGE,Oakland,CA
827,mountsaintmarysuniversity,MOUNT SAINT MARY'S UNIVERSITY,Los Angeles,CA
786,nationaluniversity,NATIONAL UNIVERSITY,La Jolla,CA
801,notredamedenamuruniversity,NOTRE DAME DE NAMUR UNIVERSITY,Belmont,CA
734,pacificoakscollege,PACIFIC OAKS COLLEGE,Pasadena,CA
803,paloaltouniversity,PALO ALTO UNIVERSITY,Palo Alto,CA
720,pitzercollege,PITZER COLLEGE,Claremont,CA
777,santiagocanyoncollege,SANTIAGO CANYON COLLEGE,Orange,CA
667,saybrookuniversity,SAYBROOK UNIVERSITY,,CA
735,southerncaliforniainstitutearchitecture,SOUTHERN CALIFORNIA INSTITUTE OF ARCHITECTURE,Los Angeles,CA
743,stanbridgeuniversity,STANBRIDGE UNIVERSITY,,CA
809,stanforduniversity,STANFORD UNIVERSITY,Stanford,CA
834,tourocollegelosangeles,TOURO COLLEGE - LOS ANGELES,,CA
715,tridentuniversityinternational,TRIDENT UNIVERSITY INTERNATIONAL,Cypress,CA
718,universitylaverne,UNIVERSITY OF LA VERNE,La Verne,CA
792,universityredlands,UNIVERSITY OF REDLANDS,Redlands,CA
761,victorvalleycollege,VICTOR VALLEY COLLEGE,Victorville,CA
833,westcoastultrasoundinstitute,WEST COAST ULTRASOUND INSTITUTE,,CA
820,wrightinstitute,THE WRIGHT INSTITUTE,,CA
586,americansentineluniversity,AMERICAN SENTINEL UNIVERSITY,Aurora,CO
563,coloradochristianuniversity,COLORADO CHRISTIAN UNIVERSITY,Lakewood,CO
564,coloradocollege,COLORADO COLLEGE,Colorado Springs,CO
556,emilygriffithtechnicalcollege,EMILY GRIFFITH TECHNICAL COLLEGE,Denver,CO
215,goodwincollege,GOODWIN COLLEGE,East Hartford,CT
222,mitchellcollege,MITCHELL COLLEGE,New London,CT
227,postuniversity,POST UNIVERSITY,Waterbury,CT
343,americanuniversity,AMERICAN UNIVERSITY,Washington,DC
350,trinitywashingtonuniversity,TRINITY WASHINGTON UNIVERSITY,Washington,DC
1693,goldeybeacomcollege,GOLDEY-BEACOM COLLEGE,Wilmington,DE
1694,wesleycollege,WESLEY COLLEGE,Dover,DE
1692,wilmingtonuniversity,WILMINGTON UNIVERSITY,New Castle,DE
1018,avemariauniversity,AVE MARIA UNIVERSITY,,FL
1035,barryuniversity,BARRY UNIVERSITY,Miami,FL
1034,bethunecookmanuniversity,BETHUNE-COOKMAN UNIVERSITY,Daytona Beach,FL
1036,citycollegefortlauderdale,CITY COLLEGE-FORT LAUDERDALE,Fort Lauderdale,FL
1031,edwardwaterscollege,EDWARD WATERS COLLEGE,Jacksonville,FL
984,evergladesuniversity,EVERGLADES UNIVERSITY,Boca Raton,FL
1032,floridaatlanticuniversity,FLORIDA ATLANTIC UNIVERSITY,Boca Raton,FL
1026,floridainternationaluniversity,FLORIDA INTERNATIONAL UNIVERSITY,Miami,FL
1030,floridakeyscommunitycollege,FLORIDA KEYS COMMUNITY COLLEGE,Key West,FL
990,floridamemorialuniversity,FLORIDA MEMORIAL UNIVERSITY,Miami Gardens,FL
1020,floridapolytechnicuniversity,FLORIDA POLYTECHNIC UNIVERSITY,Lakeland,FL
991,floridasoutherncollege,FLORIDA SOUTHERN COLLEGE,Lakeland,FL
986,floridatechnicalcollege,FLORIDA TECHNICAL COLLEGE,Orlando,FL
1045,fullsailuniversity,FULL SAIL UNIVERSITY,,FL
996,jacksonvilleuniversity,JACKSONVILLE UNIVERSITY,Jacksonville,FL
997,keiseruniversityftlauderdale,KEISER UNIVERSITY-FT LAUDERDALE,Fort Lauderdale,FL
1039,lynnuniversity,LYNN UNIVERSITY,Boca Raton,FL
1001,northfloridacommunitycollege,NORTH FLORIDA COMMUNITY COLLEGE,Madison,FL
1003,novasoutheasternuniversity,NOVA SOUTHEASTERN UNIVERSITY,Fort Lauderdale,FL
1010,saintleouniversity,SAINT LEO UNIVERSITY,Saint Leo,FL
1019,universitysouthfloridastpetersburg,UNIVERSITY OF SOUTH FLORIDA-ST PETERSBURG,St. Petersburg,FL
1027,universitytampa,THE UNIVERSITY OF TAMPA,,FL
1041,universitywestflorida,THE UNIVERSITY OF WEST FLORIDA,,FL
1456,altieruscareercollegenorcross,ALTIERUS CAREER COLLEGE-NORCROSS,Norcross,GA
1404,armstrongstateuniversity,ARMSTRONG STATE UNIVERSITY,,GA
1406,atlantametropolitanstatecollege,ATLANTA METROPOLITAN STATE COLLEGE,Atlanta,GA
1410,beulahheightsuniversity,BEULAH HEIGHTS UNIVERSITY,Atlanta,GA
1457,brewtonparkercollege,BREWTON-PARKER COLLEGE,Mount Vernon,GA
1407,clarkatlantauniversity,CLARK ATLANTA UNIVERSITY,Atlanta,GA
1397,georgiamilitarycollegefayetteville,GEORGIA MILITARY COLLEGE - FAYETTEVILLE,,GA
1467,herzinguniversityatlanta,HERZING UNIVERSITY-ATLANTA,Atlanta,GA
1431,merceruniversity,MERCER UNIVERSITY,Macon,GA
1432,oglethorpeuniversity,OGLETHORPE UNIVERSITY,Atlanta,GA
1434,piedmontcollege,PIEDMONT COLLEGE,Demorest,GA
1398,pointuniversity,POINT UNIVERSITY,West Point,GA
1439,spelmancollege,SPELMAN COLLEGE,Atlanta,GA
1440,thomasuniversity,THOMAS UNIVERSITY,Thomasville,GA
1441,toccoafallscollege,TOCCOA FALLS COLLEGE,Toccoa Falls,GA
1442,truettmcconnelluniversity,TRUETT MCCONNELL UNIVERSITY,Cleveland,GA
1443,wesleyancollege,WESLEYAN COLLEGE,Macon,GA
1445,youngharriscollege,YOUNG HARRIS COLLEGE,Young Harris,GA
1500,chaminadeuniversityhonolulu,CHAMINADE UNIVERSITY OF HONOLULU,Honolulu,HI
1770,coecollege,COE COLLEGE,Cedar Rapids,IA
1771,cornellcollege,CORNELL COLLEGE,Mount Vernon,IA
1764,desmoinesareacommunitycollege,DES MOINES AREA COMMUNITY COLLEGE,Ankeny,IA
1772,dordtcollege,DORDT COLLEGE,Sioux Center,IA
1775,ellsworthcommunitycollege,ELLSWORTH COMMUNITY COLLEGE,Iowa Falls,IA
1776,grandviewuniversity,GRAND VIEW UNIVERSITY,Des Moines,IA
1783,maharishiuniversitymanagement,MAHARISHI UNIVERSITY OF MANAGEMENT,Fairfield,IA
1786,northiowaareacommunitycollege,NORTH IOWA AREA COMMUNITY COLLEGE,Mason City,IA
1788,northwesterncollege,NORTHWESTERN COLLEGE,Orange City,IA
1789,northwestiowacommunitycollege,NORTHWEST IOWA COMMUNITY COLLEGE,Sheldon,IA
1762,southeasterncommunitycollege,SOUTHEASTERN COMMUNITY COLLEGE,West Burlington,IA
1774,universitydubuque,UNIVERSITY OF DUBUQUE,Dubuque,IA
1794,williampennuniversity,WILLIAM PENN UNIVERSITY,Oskaloosa,IA
416,brighamyounguniversityidaho,BRIGHAM YOUNG UNIVERSITY-IDAHO,Rexburg,ID
412,collegeidaho,THE COLLEGE OF IDAHO,Caldwell,ID
415,northwestnazareneuniversity,NORTHWEST NAZARENE UNIVERSITY,Nampa,ID
1057,augustanacollege,AUGUSTANA COLLEGE,Rock Island,IL
1051,depauluniversity,DEPAUL UNIVERSITY,Chicago,IL
1068,elmhurstcollege,ELMHURST COLLEGE,Elmhurst,IL
1080,illinoisinstitutetechnology,ILLINOIS INSTITUTE OF TECHNOLOGY,Chicago,IL
1077,illinoiswesleyanuniversity,ILLINOIS WESLEYAN UNIVERSITY,Bloomington,IL
1088,kendallcollege,KENDALL COLLEGE,,IL
1096,lincolnchristianuniversity,LINCOLN CHRISTIAN UNIVERSITY,Lincoln,IL
1099,macmurraycollege,MACMURRAY COLLEGE,Jacksonville,IL
1103,monmouthcollege,MONMOUTH COLLEGE,Monmouth,IL
1110,northernillinoisuniversity,NORTHERN ILLINOIS UNIVERSITY,Dekalb,IL
1111,northwesternuniversity,NORTHWESTERN UNIVERSITY,Evanston,IL
1113,olivetnazareneuniversity,OLIVET NAZARENE UNIVERSITY,Bourbonnais,IL
1053,resurrectionuniversity,RESURRECTION UNIVERSITY,Chicago,IL
1128,saintaugustinecollege,SAINT AUGUSTINE COLLEGE,Chicago,IL
1134,trinitychristiancollege,TRINITY CHRISTIAN COLLEGE,Palos Heights,IL
2067,andersonuniversity,ANDERSON UNIVERSITY,Anderson,IN
2070,depauwuniversity,DEPAUW UNIVERSITY,Greencastle,IN
2071,earlhamcollege,EARLHAM COLLEGE,Richmond,IN
2075,hanovercollege,HANOVER COLLEGE,Hanover,IN
2076,holycrosscollege,HOLY CROSS COLLEGE,Notre Dame,IN
2077,huntingtonuniversity,HUNTINGTON UNIVERSITY,Huntington,IN
2078,ivytechcommunitycollege,IVY TECH COMMUNITY COLLEGE,Indianapolis,IN
2092,manchesteruniversity,MANCHESTER UNIVERSITY,North Manchester,IN
2093,marianuniversity,MARIAN UNIVERSITY,Indianapolis,IN
2094,oaklandcityuniversity,OAKLAND CITY UNIVERSITY,Oakland City,IN
1914,bakeruniversity,BAKER UNIVERSITY,Baldwin City,KS
1916,bethanycollege,BETHANY COLLEGE,Lindsborg,KS
1908,butlercommunitycollege,BUTLER COMMUNITY COLLEGE,El Dorado,KS
1917,centralchristiancollegekansas,CENTRAL CHRISTIAN COLLEGE OF KANSAS,McPherson,KS
1940,clevelanduniversitykansascity,CLEVELAND UNIVERSITY-KANSAS CITY,Overland Park,KS
1924,friendsuniversity,FRIENDS UNIVERSITY,Wichita,KS
1930,independencecommunitycollege,INDEPENDENCE COMMUNITY COLLEGE,Independence,KS
1934,labettecommunitycollege,LABETTE COMMUNITY COLLEGE,Parsons,KS
1935,mcphersoncollege,MCPHERSON COLLEGE,McPherson,KS
1936,midamericanazareneuniversity,MIDAMERICA NAZARENE UNIVERSITY,Olathe,KS
1943,pittsburgstateuniversity,PITTSBURG STATE UNIVERSITY,Pittsburg,KS
1946,salinaareatechnicalcollege,SALINA AREA TECHNICAL COLLEGE,Salina,KS
1937,sterlingcollege,STERLING COLLEGE,Sterling,KS
1942,taborcollege,TABOR COLLEGE,Hillsboro,KS
2029,alicelloydcollege,ALICE LLOYD COLLEGE,,KY
2039,georgetowncollege,GEORGETOWN COLLEGE,Georgetown,KY
2045,midwayuniversity,MIDWAY UNIVERSITY,Midway,KY
2053,thomasmorecollege,THOMAS MORE COLLEGE,Crestview Hills,KY
2026,transylvaniauniversity,TRANSYLVANIA UNIVERSITY,Lexington,KY
2054,unioncollege,UNION COLLEGE,Barbourville,KY
2038,universitycumberlands,UNIVERSITY OF THE CUMBERLANDS,Williamsburg,KY
206,batonrougecommunitycollege,BATON ROUGE COMMUNITY COLLEGE,Baton Rouge,LA
177,delgadocommunitycollege,DELGADO COMMUNITY COLLEGE,New Orleans,LA
182,gramblingstateuniversity,GRAMBLING STATE UNIVERSITY,Grambling,LA
187,louisianacollege,LOUISIANA COLLEGE,Pineville,LA
186,louisianastateuniversityshreveport,LOUISIANA STATE UNIVERSITY-SHREVEPORT,Shreveport,LA
192,nichollsstateuniversity,NICHOLLS STATE UNIVERSITY,Thibodaux,LA
175,northwestlouisianatechnicalcollege,NORTHWEST LOUISIANA TECHNICAL COLLEGE,Minden,LA
181,nunezcommunitycollege,NUNEZ COMMUNITY COLLEGE,Chalmette,LA
176,riverparishescommunitycollege,RIVER PARISHES COMMUNITY COLLEGE,Gonzales,LA
204,southcentrallouisianatechnicalcollege,SOUTH CENTRAL LOUISIANA TECHNICAL COLLEGE,Morgan City,LA
200,southernuniversityneworleans,SOUTHERN UNIVERSITY AT NEW ORLEANS,New Orleans,LA
194,universityholycross,UNIVERSITY OF HOLY CROSS,New Orleans,LA
203,xavieruniversitylouisiana,XAVIER UNIVERSITY OF LOUISIANA,New Orleans,LA
1517,americaninternationalcollege,AMERICAN INTERNATIONAL COLLEGE,Springfield,MA
1520,assumptioncollege,ASSUMPTION COLLEGE,Worcester,MA
1521,babsoncollege,BABSON COLLEGE,Babson Park,MA
1528,baypathuniversity,BAY PATH UNIVERSITY,Longmeadow,MA
1510,baystatecollege,BAY STATE COLLEGE,Boston,MA
1509,beckercollege,BECKER COLLEGE,Worcester,MA
1539,benjaminfranklininstitutetechnology,BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY,Boston,MA
1507,bostoncollege,BOSTON COLLEGE,Chestnut Hill,MA
1532,bunkerhillcommunitycollege,BUNKER HILL COMMUNITY COLLEGE,Boston,MA
1544,collegeholycross,COLLEGE OF THE HOLY CROSS,Worcester,MA
1535,currycollege,CURRY COLLEGE,Milton,MA
1524,easternnazarenecollege,EASTERN NAZARENE COLLEGE,Quincy,MA
1525,endicottcollege,ENDICOTT COLLEGE,Beverly,MA
1526,fishercollege,FISHER COLLEGE,Boston,MA
1586,franklinwolincollegeengineering,FRANKLIN W OLIN COLLEGE OF ENGINEERING,Needham,MA
1542,hampshirecollege,HAMPSHIRE COLLEGE,Amherst,MA
1546,lasellcollege,LASELL COLLEGE,Newton,MA
1557,merrimackcollege,MERRIMACK COLLEGE,North Andover,MA
1561,newburycollege,NEWBURY COLLEGE,Brookline,MA
1562,nicholscollege,NICHOLS COLLEGE,Dudley,MA
1506,northshorecommunitycollege,NORTH SHORE COMMUNITY COLLEGE,Danvers,MA
1566,quincycollege,QUINCY COLLEGE,Quincy,MA
1572,springfieldcollege,SPRINGFIELD COLLEGE,Springfield,MA
1574,stonehillcollege,STONEHILL COLLEGE,Easton,MA
1575,suffolkuniversity,SUFFOLK UNIVERSITY,Boston,MA
1548,universitymassachusettslowell,UNIVERSITY OF MASSACHUSETTS-LOWELL,Lowell,MA
1515,urbancollegeboston,URBAN COLLEGE OF BOSTON,Boston,MA
1577,wellesleycollege,WELLESLEY COLLEGE,Wellesley,MA
1579,westernnewenglanduniversity,WESTERN NEW ENGLAND UNIVERSITY,Springfield,MA
1580,westfieldstateuniversity,WESTFIELD STATE UNIVERSITY,Westfield,MA
1581,wheatoncollege,WHEATON COLLEGE,Norton,MA
1582,wheelockcollege,WHEELOCK COLLEGE,Boston,MA
140,baltimorecitycommunitycollege,BALTIMORE CITY COMMUNITY COLLEGE,Baltimore,MD
142,bowiestateuniversity,BOWIE STATE UNIVERSITY,Bowie,MD
143,cecilcollege,CECIL COLLEGE,North East,MD
137,coppinstateuniversity,COPPIN STATE UNIVERSITY,Baltimore,MD
147,frederickcommunitycollege,FREDERICK COMMUNITY COLLEGE,Frederick,MD
148,frostburgstateuniversity,FROSTBURG STATE UNIVERSITY,Frostburg,MD
150,gouchercollege,GOUCHER COLLEGE,Baltimore,MD
151,hagerstowncommunitycollege,HAGERSTOWN COMMUNITY COLLEGE,Hagerstown,MD
153,hoodcollege,HOOD COLLEGE,Frederick,MD
154,howardcommunitycollege,HOWARD COMMUNITY COLLEGE,Columbia,MD
155,johnshopkinsuniversity,JOHNS HOPKINS UNIVERSITY,Baltimore,MD
156,loyolauniversitymaryland,LOYOLA UNIVERSITY MARYLAND,Baltimore,MD
135,montgomerycollege,MONTGOMERY COLLEGE,Rockville,MD
163,mountstmarysuniversity,MOUNT ST. MARY'S UNIVERSITY,Emmitsburg,MD
171,stevensonuniversity,STEVENSON UNIVERSITY,Stevenson,MD
161,universitymarylandeasternshore,UNIVERSITY OF MARYLAND EASTERN SHORE,,MD
136,universitymarylanduniversitycollege,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE,Adelphi,MD
173,worwiccommunitycollege,WOR-WIC COMMUNITY COLLEGE,Salisbury,MD
2249,mainemaritimeacademy,MAINE MARITIME ACADEMY,Castine,ME
2240,saintjosephscollegemaine,SAINT JOSEPH'S COLLEGE OF MAINE,Standish,ME
2254,thomascollege,THOMAS COLLEGE,Waterville,ME
2255,unitycollege,UNITY COLLEGE,Unity,ME
1818,calvincollege,CALVIN COLLEGE,Grand Rapids,MI
