,preprocessed_name,NAME,CITY_x,STATE
492,tiffinuniversity,TIFFIN UNIVERSITY,Tiffin,OH
501,universitynorthwesternohio,UNIVERSITY OF NORTHWESTERN OHIO,Lima,OH
453,universityriogrande,UNIVERSITY OF RIO GRANDE,Rio Grande,OH
444,universitytoledo,UNIVERSITY OF TOLEDO,Toledo,OH
470,urbanauniversity,URBANA UNIVERSITY,Urbana,OH
524,ursulinecollege,URSULINE COLLEGE,Pepper Pike,OH
465,washingtonstatecommunitycollege,WASHINGTON STATE COMMUNITY COLLEGE,Marietta,OH
445,wilberforceuniversity,WILBERFORCE UNIVERSITY,Wilberforce,OH
1606,baconecollege,BACONE COLLEGE,Muskogee,OK
1603,collegemuscogeenation,COLLEGE OF THE MUSCOGEE NATION,Okmulgee,OK
1638,communitycarecollege,COMMUNITY CARE COLLEGE,Tulsa,OK
1615,langstonuniversity,LANGSTON UNIVERSITY,Langston,OK
1622,oklahomabaptistuniversity,OKLAHOMA BAPTIST UNIVERSITY,Shawnee,OK
1633,southwesternchristianuniversity,SOUTHWESTERN CHRISTIAN UNIVERSITY,Bethany,OK
1625,universityoklahomanormancampus,UNIVERSITY OF OKLAHOMA-NORMAN CAMPUS,Norman,OK
10,albrightcollege,ALBRIGHT COLLEGE,Reading,PA
19,brynmawrcollege,BRYN MAWR COLLEGE,Bryn Mawr,PA
23,cabriniuniversity,CABRINI UNIVERSITY,Radnor,PA
85,cairnuniversitylanghorne,CAIRN UNIVERSITY-LANGHORNE,Langhorne,PA
30,chestnuthillcollege,CHESTNUT HILL COLLEGE,Philadelphia,PA
15,clarkssummituniversity,CLARKS SUMMIT UNIVERSITY,South Abington Township,PA
16,communitycollegebeavercounty,COMMUNITY COLLEGE OF BEAVER COUNTY,Monaca,PA
45,gwyneddmercyuniversity,GWYNEDD MERCY UNIVERSITY,Gwynedd Valley,PA
115,harrisburguniversitysciencetechnology,HARRISBURG UNIVERSITY OF SCIENCE AND TECHNOLOGY,Harrisburg,PA
5,haverfordcollege,HAVERFORD COLLEGE,Haverford,PA
39,juniatacollege,JUNIATA COLLEGE,Huntingdon,PA
40,keystonecollege,KEYSTONE COLLEGE,La Plume,PA
55,lancasterbiblecollege,LANCASTER BIBLE COLLEGE,Lancaster,PA
52,larocheuniversity,LA ROCHE UNIVERSITY,Pittsburgh,PA
56,lebanonvalleycollege,LEBANON VALLEY COLLEGE,Annville,PA
57,lehighcarboncommunitycollege,LEHIGH CARBON COMMUNITY COLLEGE,Schnecksville,PA
58,lehighuniversity,LEHIGH UNIVERSITY,Bethlehem,PA
65,marywooduniversity,MARYWOOD UNIVERSITY,Scranton,PA
67,messiahcollege,MESSIAH COLLEGE,Mechanicsburg,PA
1,montgomerycountycommunitycollege,MONTGOMERY COUNTY COMMUNITY COLLEGE,Blue Bell,PA
71,mountaloysiuscollege,MOUNT ALOYSIUS COLLEGE,Cresson,PA
72,muhlenbergcollege,MUHLENBERG COLLEGE,Allentown,PA
80,pennsylvaniastateuniversitymaincampus,PENNSYLVANIA STATE UNIVERSITY-MAIN CAMPUS,University Park,PA
81,pennsylvaniastateuniversitypennstateabington,PENNSYLVANIA STATE UNIVERSITY-PENN STATE ABINGTON,Abington,PA
76,pennsylvaniastateuniversitypennstatealtoona,PENNSYLVANIA STATE UNIVERSITY-PENN STATE ALTOONA,,PA
77,pennsylvaniastateuniversitypennstateberks,PENNSYLVANIA STATE UNIVERSITY-PENN STATE BERKS,,PA
79,pennsylvaniastateuniversitypennstatebrandywine,PENNSYLVANIA STATE UNIVERSITY-PENN STATE BRANDYWINE,,PA
74,pennsylvaniastateuniversitypennstateeriebehrendcollege,PENNSYLVANIA STATE UNIVERSITY-PENN STATE ERIE-BEHREND COLLEGE,,PA
75,pennsylvaniastateuniversitypennstategreatvalley,PENNSYLVANIA STATE UNIVERSITY-PENN STATE GREAT VALLEY,,PA
78,pennsylvaniastateuniversitypennstateharrisburg,PENNSYLVANIA STATE UNIVERSITY-PENN STATE HARRISBURG,,PA
82,pennsylvaniastateuniversitypennstateschuylkill,PENNSYLVANIA STATE UNIVERSITY-PENN STATE SCHUYLKILL,,PA
89,rosemontcollege,ROSEMONT COLLEGE,Rosemont,PA
90,saintfrancisuniversity,SAINT FRANCIS UNIVERSITY,Loretto,PA
91,saintjosephsuniversity,SAINT JOSEPH'S UNIVERSITY,Philadelphia,PA
92,saintvincentcollege,SAINT VINCENT COLLEGE,Latrobe,PA
94,setonhilluniversity,SETON HILL UNIVERSITY,Greensburg,PA
98,thaddeusstevenscollegetechnology,THADDEUS STEVENS COLLEGE OF TECHNOLOGY,Lancaster,PA
105,washingtonjeffersoncollege,WASHINGTON &amp; JEFFERSON COLLEGE,Washington,PA
111,yorkcollegepennsylvania,YORK COLLEGE OF PENNSYLVANIA,York,PA
112,yticareerinstituteyork,YTI CAREER INSTITUTE-YORK,York,PA
2022,communitycollegerhodeisland,COMMUNITY COLLEGE OF RHODE ISLAND,Warwick,RI
592,allenuniversity,ALLEN UNIVERSITY,Columbia,SC
595,benedictcollege,BENEDICT COLLEGE,Columbia,SC
593,charlestonsouthernuniversity,CHARLESTON SOUTHERN UNIVERSITY,Charleston,SC
600,claflinuniversity,CLAFLIN UNIVERSITY,Orangeburg,SC
603,cokercollege,COKER COLLEGE,Hartsville,SC
605,conversecollege,CONVERSE COLLEGE,Spartanburg,SC
612,limestonecollege,LIMESTONE COLLEGE,Gaffney,SC
636,southernwesleyanuniversity,SOUTHERN WESLEYAN UNIVERSITY,Central,SC
630,winthropuniversity,WINTHROP UNIVERSITY,Rock Hill,SC
1380,augustanauniversity,AUGUSTANA UNIVERSITY,Sioux Falls,SD
1381,blackhillsstateuniversity,BLACK HILLS STATE UNIVERSITY,Spearfish,SD
1383,dakotawesleyanuniversity,DAKOTA WESLEYAN UNIVERSITY,Mitchell,SD
1384,lakeareatechnicalinstitute,LAKE AREA TECHNICAL INSTITUTE,Watertown,SD
1385,mitchelltechnicalinstitute,MITCHELL TECHNICAL INSTITUTE,Mitchell,SD
1386,oglalalakotacollege,OGLALA LAKOTA COLLEGE,Kyle,SD
1387,presentationcollege,PRESENTATION COLLEGE,Aberdeen,SD
1389,sintegleskauniversity,SINTE GLESKA UNIVERSITY,Mission,SD
1378,sissetonwahpetoncollege,SISSETON WAHPETON COLLEGE,Sisseton,SD
1388,southdakotastateuniversity,SOUTH DAKOTA STATE UNIVERSITY,Brookings,SD
1391,southeasttechnicalinstitute,SOUTHEAST TECHNICAL INSTITUTE,Sioux Falls,SD
1390,universitysiouxfalls,UNIVERSITY OF SIOUX FALLS,Sioux Falls,SD
1393,westerndakotatechnicalinstitute,WESTERN DAKOTA TECHNICAL INSTITUTE,Rapid City,SD
1872,bryancollegedayton,BRYAN COLLEGE-DAYTON,Dayton,TN
1880,fiskuniversity,FISK UNIVERSITY,Nashville,TN
1881,freedhardemanuniversity,FREED-HARDEMAN UNIVERSITY,,TN
1904,lincolnmemorialuniversity,LINCOLN MEMORIAL UNIVERSITY,Harrogate,TN
1878,lipscombuniversity,LIPSCOMB UNIVERSITY,Nashville,TN
1905,milligancollege,MILLIGAN COLLEGE,Milligan College,TN
1891,rhodescollege,RHODES COLLEGE,Memphis,TN
1895,tennesseewesleyanuniversity,TENNESSEE WESLEYAN UNIVERSITY,Athens,TN
1899,treveccanazareneuniversity,TREVECCA NAZARENE UNIVERSITY,Nashville,TN
1901,unionuniversity,UNION UNIVERSITY,Jackson,TN
1869,welchcollege,WELCH COLLEGE,Gallatin,TN
2115,abilenechristianuniversity,ABILENE CHRISTIAN UNIVERSITY,Abilene,TX
2228,altieruscareercollegebissonnet,ALTIERUS CAREER COLLEGE-BISSONNET,Houston,TX
2116,alvincommunitycollege,ALVIN COMMUNITY COLLEGE,Alvin,TX
2119,austincollege,AUSTIN COLLEGE,Sherman,TX
2110,baptisthealthsystemschoolhealthprofessions,BAPTIST HEALTH SYSTEM SCHOOL OF HEALTH PROFESSIONS,San Antonio,TX
2124,brookhavencollege,BROOKHAVEN COLLEGE,Farmers Branch,TX
2125,cedarvalleycollege,CEDAR VALLEY COLLEGE,Lancaster,TX
2126,ciscocollege,CISCO COLLEGE,Cisco,TX
2127,clarendoncollege,CLARENDON COLLEGE,Clarendon,TX
2104,coastalbendcollege,COASTAL BEND COLLEGE,Beeville,TX
2223,collegebiblicalstudieshouston,COLLEGE OF BIBLICAL STUDIES-HOUSTON,Houston,TX
2131,dallasbaptistuniversity,DALLAS BAPTIST UNIVERSITY,Dallas,TX
2136,eastfieldcollege,EASTFIELD COLLEGE,Mesquite,TX
2139,graysoncollege,GRAYSON COLLEGE,Denison,TX
2142,hillcollege,HILL COLLEGE,Hillsboro,TX
2148,howardcollege,HOWARD COLLEGE,Big Spring,TX
2150,hustontillotsonuniversity,HUSTON-TILLOTSON UNIVERSITY,,TX
2152,jacksonvillecollegemaincampus,JACKSONVILLE COLLEGE-MAIN CAMPUS,Jacksonville,TX
2153,jarvischristiancollege,JARVIS CHRISTIAN COLLEGE,Hawkins,TX
2154,kilgorecollege,KILGORE COLLEGE,Kilgore,TX
2112,kingsuniversity,THE KING'S UNIVERSITY,Southlake,TX
2233,lamarinstitutetechnology,LAMAR INSTITUTE OF TECHNOLOGY,Beaumont,TX
2155,lamarstatecollegeorange,LAMAR STATE COLLEGE-ORANGE,Orange,TX
2146,lamaruniversity,LAMAR UNIVERSITY,Beaumont,TX
2158,letourneauuniversity,LETOURNEAU UNIVERSITY,Longview,TX
2164,midwesternstateuniversity,MIDWESTERN STATE UNIVERSITY,Wichita Falls,TX
2165,mountainviewcollege,MOUNTAIN VIEW COLLEGE,Dallas,TX
2129,northcentraltexascollege,NORTH CENTRAL TEXAS COLLEGE,Gainesville,TX
2169,northeasttexascommunitycollege,NORTHEAST TEXAS COMMUNITY COLLEGE,Mount Pleasant,TX
2167,northlakecollege,NORTH LAKE COLLEGE,Irving,TX
2170,odessacollege,ODESSA COLLEGE,Odessa,TX
2177,rangercollege,RANGER COLLEGE,Ranger,TX
2179,richlandcollege,RICHLAND COLLEGE,Dallas,TX
2183,schreineruniversity,SCHREINER UNIVERSITY,Kerrville,TX
2224,southtexascollege,SOUTH TEXAS COLLEGE,McAllen,TX
2188,southwesternassembliesgoduniversity,SOUTHWESTERN ASSEMBLIES OF GOD UNIVERSITY,Waxahachie,TX
2194,templecollege,TEMPLE COLLEGE,Temple,TX
2157,texasaminternationaluniversity,TEXAS A &amp; M INTERNATIONAL UNIVERSITY,Laredo,TX
2231,texasamuniversitysanantonio,TEXAS A&amp;M UNIVERSITY-SAN ANTONIO,San Antonio,TX
2135,texasamuniversitytexarkana,TEXAS A&amp;M UNIVERSITY-TEXARKANA,Texarkana,TX
2204,texascollege,TEXAS COLLEGE,Tyler,TX
2208,texassouthernuniversity,TEXAS SOUTHERN UNIVERSITY,Houston,TX
2230,texasstatetechnicalcollege,TEXAS STATE TECHNICAL COLLEGE,Waco,TX
2210,texaswesleyanuniversity,TEXAS WESLEYAN UNIVERSITY,Fort Worth,TX
2145,universityhoustonvictoria,UNIVERSITY OF HOUSTON-VICTORIA,Victoria,TX
2151,universityincarnateword,UNIVERSITY OF THE INCARNATE WORD,San Antonio,TX
2227,universitynorthtexasdallas,UNIVERSITY OF NORTH TEXAS AT DALLAS,Dallas,TX
2172,universitytexasriograndevalley,THE UNIVERSITY OF TEXAS RIO GRANDE VALLEY,Edinburg,TX
2215,victoriacollege,VICTORIA COLLEGE,Victoria,TX
2217,weatherfordcollege,WEATHERFORD COLLEGE,Weatherford,TX
2219,westerntexascollege,WESTERN TEXAS COLLEGE,Snyder,TX
2220,wileycollege,WILEY COLLEGE,Marshall,TX
426,brighamyounguniversityprovo,BRIGHAM YOUNG UNIVERSITY-PROVO,Provo,UT
433,neumontcollegecomputerscience,NEUMONT COLLEGE OF COMPUTER SCIENCE,Salt Lake City,UT
420,ogdenwebertechnicalcollege,OGDEN-WEBER TECHNICAL COLLEGE,Ogden,UT
421,stevenshenagercollege,STEVENS-HENAGER COLLEGE,Salt Lake City,UT
434,stevenshenagercollegestgeorgeutahcampus,STEVENS HENAGER COLLEGE - ST GEORGE UTAH CAMPUS,St. George,UT
419,utahvalleyuniversity,UTAH VALLEY UNIVERSITY,Orem,UT
1985,americannationaluniversity,AMERICAN NATIONAL UNIVERSITY,Salem,VA
1955,bluefieldcollege,BLUEFIELD COLLEGE,Bluefield,VA
2014,bryantstrattoncollegehampton,BRYANT &amp; STRATTON COLLEGE-HAMPTON,Hampton,VA
1962,bryantstrattoncollegerichmond,BRYANT &amp; STRATTON COLLEGE-RICHMOND,North Chesterfield,VA
1957,collegewilliammary,COLLEGE OF WILLIAM AND MARY,Williamsburg,VA
1965,easternshorecommunitycollege,EASTERN SHORE COMMUNITY COLLEGE,Melfa,VA
1966,ferrumcollege,FERRUM COLLEGE,Ferrum,VA
1970,hamptonuniversity,HAMPTON UNIVERSITY,Hampton,VA
1971,hollinsuniversity,HOLLINS UNIVERSITY,Roanoke,VA
1975,jamesmadisonuniversity,JAMES MADISON UNIVERSITY,Harrisonburg,VA
1974,norfolkstateuniversity,NORFOLK STATE UNIVERSITY,Norfolk,VA
1993,randolphcollege,RANDOLPH COLLEGE,Lynchburg,VA
1958,regentuniversity,REGENT UNIVERSITY,Virginia Beach,VA
1995,richardblandcollege,RICHARD BLAND COLLEGE,South Prince George,VA
1952,stratforduniversity,STRATFORD UNIVERSITY,Fairfax,VA
2001,sweetbriarcollege,SWEET BRIAR COLLEGE,Sweet Briar,VA
1982,universitymarywashington,UNIVERSITY OF MARY WASHINGTON,Fredericksburg,VA
1997,universityrichmond,UNIVERSITY OF RICHMOND,University of Richmond,VA
2009,virginiamilitaryinstitute,VIRGINIA MILITARY INSTITUTE,Lexington,VA
123,champlaincollege,CHAMPLAIN COLLEGE,Burlington,VT
124,goddardcollege,GODDARD COLLEGE,Plainfield,VT
125,greenmountaincollege,GREEN MOUNTAIN COLLEGE,Poultney,VT
132,landmarkcollege,LANDMARK COLLEGE,Putney,VT
120,marlborocollegegraduateprofessionalstudies,MARLBORO COLLEGE GRADUATE &amp; PROFESSIONAL STUDIES,Marlboro,VT
127,norwichuniversity,NORWICH UNIVERSITY,Northfield,VT
129,southernvermontcollege,SOUTHERN VERMONT COLLEGE,,VT
398,antiochuniversityseattle,ANTIOCH UNIVERSITY-SEATTLE,Seattle,WA
372,bastyruniversity,BASTYR UNIVERSITY,Kenmore,WA
402,carringtoncollegespokane,CARRINGTON COLLEGE-SPOKANE,Spokane,WA
363,clarkcollege,CLARK COLLEGE,Vancouver,WA
366,edmondscommunitycollege,EDMONDS COMMUNITY COLLEGE,Lynnwood,WA
401,northwestindiancollege,NORTHWEST INDIAN COLLEGE,Bellingham,WA
377,northwestuniversity,NORTHWEST UNIVERSITY,Kirkland,WA
380,pacificlutheranuniversity,PACIFIC LUTHERAN UNIVERSITY,Tacoma,WA
379,perrytechnicalinstitute,PERRY TECHNICAL INSTITUTE,Yakima,WA
368,piercecollegefortsteilacoom,PIERCE COLLEGE-FORT STEILACOOM,,WA
399,universitywashingtonbothellcampus,UNIVERSITY OF WASHINGTON-BOTHELL CAMPUS,Bothell,WA
391,universitywashingtonseattlecampus,UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS,Seattle,WA
400,universitywashingtontacomacampus,UNIVERSITY OF WASHINGTON-TACOMA CAMPUS,Tacoma,WA
406,washingtonstateuniversityspokane,WASHINGTON STATE UNIVERSITY - SPOKANE,,WA
407,washingtonstateuniversitytricities,WASHINGTON STATE UNIVERSITY - TRI-CITIES,,WA
408,washingtonstateuniversityvancouver,WASHINGTON STATE UNIVERSITY - VANCOUVER,,WA
394,whatcomcommunitycollege,WHATCOM COMMUNITY COLLEGE,Bellingham,WA
397,yakimavalleycollege,YAKIMA VALLEY COLLEGE,Yakima,WA
1708,beloitcollege,BELOIT COLLEGE,Beloit,WI
1709,cardinalstritchuniversity,CARDINAL STRITCH UNIVERSITY,Milwaukee,WI
1710,carrolluniversity,CARROLL UNIVERSITY,Waukesha,WI
1724,chippewavalleytechnicalcollege,CHIPPEWA VALLEY TECHNICAL COLLEGE,Eau Claire,WI
1696,concordiauniversitywisconsin,CONCORDIA UNIVERSITY-WISCONSIN,Mequon,WI
1704,eastwesthealingartsinstitutemilwaukee,EAST-WEST HEALING ARTS INSTITUTE - MILWAUKEE,,WI
1711,edgewoodcollege,EDGEWOOD COLLEGE,Madison,WI
1742,herzinguniversitykenosha,HERZING UNIVERSITY-KENOSHA,Kenosha,WI
1734,herzinguniversitymadison,HERZING UNIVERSITY-MADISON,Madison,WI
1713,maranathabaptistuniversity,MARANATHA BAPTIST UNIVERSITY,Watertown,WI
1717,moraineparktechnicalcollege,MORAINE PARK TECHNICAL COLLEGE,Fond du Lac,WI
1721,riponcollege,RIPON COLLEGE,Ripon,WI
1722,southwestwisconsintechnicalcollege,SOUTHWEST WISCONSIN TECHNICAL COLLEGE,,WI
1743,universitywisconsincollegesbaraboosaukcounty,UNIVERSITY OF WISCONSIN COLLEGES - BARABOO/SAUK COUNTY,,WI
1744,universitywisconsincollegesbarroncounty,UNIVERSITY OF WISCONSIN COLLEGES - BARRON COUNTY,,WI
1745,universitywisconsincollegesfonddulac,UNIVERSITY OF WISCONSIN COLLEGES - FOND DU LAC,,WI
1746,universitywisconsincollegesfoxvalley,UNIVERSITY OF WISCONSIN COLLEGES - FOX VALLEY,,WI
1747,universitywisconsincollegesmanitowoc,UNIVERSITY OF WISCONSIN COLLEGES - MANITOWOC,,WI
1748,universitywisconsincollegesmarathoncounty,UNIVERSITY OF WISCONSIN COLLEGES - MARATHON COUNTY,,WI
1749,universitywisconsincollegesmarshfieldwoodcounty,UNIVERSITY OF WISCONSIN COLLEGES - MARSHFIELD/WOOD COUNTY,,WI
1750,universitywisconsincollegesrockcounty,UNIVERSITY OF WISCONSIN COLLEGES - ROCK COUNTY,,WI
1751,universitywisconsincollegessheboygan,UNIVERSITY OF WISCONSIN COLLEGES - SHEBOYGAN,,WI
1752,universitywisconsincollegeswashingtoncounty,UNIVERSITY OF WISCONSIN COLLEGES - WASHINGTON COUNTY,,WI
1753,universitywisconsincollegeswaukesha,UNIVERSITY OF WISCONSIN COLLEGES - WAUKESHA,,WI
1725,waukeshacountytechnicalcollege,WAUKESHA COUNTY TECHNICAL COLLEGE,Pewaukee,WI
1700,westerntechnicalcollege,WESTERN TECHNICAL COLLEGE,La Crosse,WI
1754,wisconsinindianheadtechnicalcollegeashlandcampus,WISCONSIN INDIANHEAD TECHNICAL COLLEGE - ASHLAND CAMPUS,,WI
1755,wisconsinindianheadtechnicalcollegenewrichmondcampus,WISCONSIN INDIANHEAD TECHNICAL COLLEGE - NEW RICHMOND CAMPUS,,WI
1756,wisconsinindianheadtechnicalcollegericelakecampus,WISCONSIN INDIANHEAD TECHNICAL COLLEGE - RICE LAKE CAMPUS,,WI
1757,wisconsinindianheadtechnicalcollegesuperiorcampus,WISCONSIN INDIANHEAD TECHNICAL COLLEGE - SUPERIOR CAMPUS,,WI
1355,bluefieldstatecollege,BLUEFIELD STATE COLLEGE,Bluefield,WV
1350,bridgevalleycommunitytechnicalcollege,BRIDGEVALLEY COMMUNITY &amp; TECHNICAL COLLEGE,South  Charleston,WV
1359,fairmontstateuniversity,FAIRMONT STATE UNIVERSITY,Fairmont,WV
1360,glenvillestatecollege,GLENVILLE STATE COLLEGE,Glenville,WV
1352,mountwestcommunitytechnicalcollege,MOUNTWEST COMMUNITY AND TECHNICAL COLLEGE,Huntington,WV
1369,newrivercommunitytechnicalcollege,NEW RIVER COMMUNITY AND TECHNICAL COLLEGE,Beaver,WV
1349,westlibertyuniversity,WEST LIBERTY UNIVERSITY,,WV
1365,westvirginianortherncommunitycollege,WEST VIRGINIA NORTHERN COMMUNITY COLLEGE,Wheeling,WV
1361,westvirginiauniversityparkersburg,WEST VIRGINIA UNIVERSITY AT PARKERSBURG,Parkersburg,WV
1367,wheelingjesuituniversity,WHEELING JESUIT UNIVERSITY,Wheeling,WV
1371,centralwyomingcollege,CENTRAL WYOMING COLLEGE,Riverton,WY
1376,westernwyomingcommunitycollege,WESTERN WYOMING COMMUNITY COLLEGE,Rock Springs,WY
